Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,season,home_odds_avg,draw_odds_avg,away_odds_avg,home_prob,draw_prob,away_prob,home_prob_norm,draw_prob_norm,away_prob_norm,odds_home_advantage,odds_favorite
P1,11/08/2023,20:15,Sp Braga,Famalicao,1,2,A,1,0,H,13,12,2,4,17,12,3,4,4,4,0,0,1.4,4.0,7.0,1.44,4.5,6.5,1.45,4.5,6.75,1.45,4.86,7.21,1.36,4.2,6.5,1.44,4.5,7.0,1.46,4.9,7.6,1.43,4.61,7.0,1.67,2.15,1.68,2.27,1.73,2.28,1.67,2.19,-1.25,2.02,1.88,2.03,1.88,2.04,1.91,1.97,1.86,1.53,4.5,5.5,1.51,4.33,5.75,1.5,4.4,6.0,1.53,4.51,6.36,1.36,4.2,6.5,1.5,4.4,6.0,1.53,4.9,7.2,1.49,4.48,6.24,1.65,2.2,1.68,2.27,1.7,2.34,1.64,2.24,-1.25,2.08,1.73,2.18,1.75,2.23,1.9,2.07,1.78,2324,1.4233333333333336,4.426666666666667,6.826666666666667,0.7025761124121779,0.22590361445783133,0.146484375,0.6535809997654576,0.2101499148342247,0.1362690854003176,-5.403333333333333,home_odds_avg
P1,12/08/2023,15:30,Gil Vicente,Portimonense,5,0,H,2,0,H,8,9,5,3,11,14,1,1,0,0,0,0,1.91,3.2,4.0,2.0,3.3,3.6,2.05,3.4,3.7,2.05,3.38,4.07,1.95,3.2,3.4,2.0,3.4,3.75,2.06,3.5,4.2,2.01,3.35,3.83,2.1,1.7,2.19,1.74,2.25,1.75,2.15,1.69,-0.5,2.03,1.87,2.05,1.86,2.07,1.91,2.01,1.84,1.8,3.5,4.2,1.83,3.6,4.1,1.83,3.65,4.2,1.86,3.68,4.52,1.7,3.5,4.0,1.83,3.6,4.2,1.94,3.8,4.52,1.83,3.62,4.27,1.9,1.95,1.92,1.97,2.08,1.99,1.89,1.9,-0.5,1.87,2.03,1.86,2.05,1.88,2.06,1.83,2.01,2324,1.9933333333333332,3.313333333333333,3.7533333333333334,0.5016722408026756,0.3018108651911469,0.2664298401420959,0.4688907098605616,0.2820891795740602,0.24902011056537818,-1.7600000000000002,home_odds_avg
P1,12/08/2023,18:00,Farense,Casa Pia,0,3,A,0,1,A,12,14,5,5,13,13,5,6,2,4,0,0,2.45,3.1,2.8,2.45,3.0,2.95,2.45,3.1,3.0,2.59,3.07,3.17,2.25,3.0,2.9,2.45,3.13,3.0,2.61,3.22,3.17,2.49,3.08,3.02,2.3,1.6,2.4,1.62,2.41,1.64,2.31,1.6,-0.25,2.17,1.75,2.17,1.76,2.17,1.78,2.11,1.74,2.5,3.0,2.9,2.4,3.0,3.0,2.45,3.15,3.05,2.61,3.09,3.12,2.25,2.9,3.0,2.45,3.0,3.13,2.61,3.24,3.23,2.46,3.07,3.1,2.5,1.5,2.58,1.55,2.58,1.63,2.44,1.55,-0.25,2.17,1.75,2.19,1.75,2.2,1.83,2.07,1.77,2324,2.44,3.0666666666666664,2.97,0.4098360655737705,0.32608695652173914,0.33670033670033667,0.3820875820137487,0.3040088152544174,0.31390360273183393,-0.5300000000000002,home_odds_avg
P1,12/08/2023,20:30,Sp Lisbon,Vizela,3,2,H,2,0,H,19,10,6,4,16,9,8,3,4,0,0,0,1.14,6.5,17.0,1.18,6.75,16.0,1.17,7.0,16.0,1.18,7.76,16.94,1.11,6.5,15.0,1.15,7.0,19.0,1.19,8.1,21.0,1.17,7.23,16.63,1.57,2.35,1.6,2.43,1.61,2.47,1.56,2.4,-2.0,1.97,1.93,1.97,1.92,1.99,2.0,1.9,1.92,1.2,5.75,15.0,1.21,6.5,12.5,1.2,6.5,14.0,1.22,7.1,13.49,1.14,5.8,13.0,1.18,7.0,15.0,1.22,7.3,18.5,1.2,6.63,14.04,1.57,2.35,1.6,2.43,1.62,2.45,1.57,2.37,-1.75,1.87,2.03,1.85,2.05,1.88,2.12,1.81,2.04,2324,1.155,6.918333333333333,16.656666666666666,0.8658008658008658,0.14454348349795232,0.06003602161296778,0.8088721442671333,0.13503936303953828,0.05608849269332833,-15.501666666666667,home_odds_avg
P1,13/08/2023,15:30,Rio Ave,Chaves,2,0,H,0,0,D,21,6,8,1,12,20,14,3,3,4,0,1,2.05,3.2,3.5,2.1,3.25,3.5,2.15,3.3,3.45,2.14,3.37,3.79,2.1,3.1,3.1,2.05,3.2,3.5,2.18,3.52,3.79,2.1,3.33,3.54,2.1,1.7,2.17,1.75,2.2,1.77,2.13,1.7,-0.25,1.83,2.07,1.83,2.09,1.86,2.11,1.8,2.03,1.85,3.3,4.0,1.88,3.4,4.1,1.95,3.45,4.0,1.93,3.5,4.44,1.75,3.2,4.0,1.87,3.4,4.33,1.96,3.56,4.44,1.9,3.44,4.17,2.15,1.67,2.16,1.75,2.35,1.77,2.15,1.7,-0.5,1.92,1.98,1.93,1.97,1.95,2.01,1.9,1.93,2324,2.098333333333333,3.236666666666667,3.473333333333333,0.47656870532168394,0.3089598352214212,0.28790786948176583,0.443965474685773,0.28782313729628634,0.2682113880179406,-1.375,home_odds_avg
P1,13/08/2023,18:00,Estrela,Guimaraes,0,1,A,0,1,A,5,11,0,3,13,18,3,10,3,3,1,0,2.45,3.2,2.7,2.5,3.1,2.8,2.6,3.2,2.8,,,,2.45,2.9,2.7,2.5,3.1,2.75,2.63,3.45,2.92,2.55,3.2,2.81,2.3,1.6,,,2.38,1.65,2.3,1.6,0.0,1.82,2.08,,,1.91,2.11,1.83,2.02,2.4,3.25,2.75,2.45,3.1,2.9,2.45,3.2,2.95,2.58,3.24,3.02,2.45,2.9,2.7,2.4,3.2,3.0,2.58,3.43,3.12,2.48,3.17,2.96,2.15,1.67,2.25,1.68,2.35,1.72,2.21,1.66,-0.25,2.08,1.73,2.19,1.75,2.19,1.8,2.09,1.75,2324,2.5,3.1,2.75,0.4,0.3225806451612903,0.36363636363636365,0.3682505399568034,0.29697624190064786,0.33477321814254857,-0.25,home_odds_avg
P1,13/08/2023,20:30,Arouca,Estoril,4,3,H,1,1,D,11,12,5,8,11,17,2,6,4,2,1,0,2.05,3.2,3.4,2.05,3.25,3.6,2.1,3.3,3.55,2.22,3.13,3.89,1.95,3.1,3.5,2.1,3.1,3.5,2.23,3.33,3.89,2.13,3.19,3.64,2.3,1.6,2.41,1.61,2.43,1.63,2.33,1.59,-0.25,1.86,2.04,1.87,2.04,1.88,2.06,1.82,2.01,2.0,3.25,3.6,1.98,3.25,3.8,2.05,3.35,3.75,2.02,3.35,4.25,1.95,3.1,3.5,1.95,3.3,4.0,2.1,3.42,4.25,2.01,3.3,3.91,2.25,1.62,2.29,1.68,2.4,1.68,2.26,1.63,-0.5,2.02,1.88,2.02,1.89,2.05,1.95,2.0,1.85,2324,2.078333333333333,3.1799999999999997,3.5733333333333337,0.4811547714514836,0.3144654088050315,0.2798507462686567,0.44738984530812603,0.2923978705970824,0.2602122840947915,-1.4950000000000006,home_odds_avg
P1,14/08/2023,18:45,Moreirense,Porto,1,2,A,0,0,D,8,18,1,7,22,15,5,10,4,7,0,1,7.0,4.75,1.36,8.0,4.75,1.36,8.0,4.9,1.37,8.32,5.36,1.37,7.5,4.5,1.3,8.0,4.6,1.33,8.8,5.5,1.38,8.11,5.05,1.35,1.67,2.15,1.64,2.34,1.7,2.34,1.65,2.22,1.5,1.78,2.03,1.83,2.06,1.87,2.11,1.81,2.02,7.5,4.75,1.36,7.5,5.0,1.37,7.75,5.0,1.37,8.35,5.29,1.37,7.5,4.5,1.3,8.5,5.0,1.33,9.0,5.4,1.46,7.87,5.01,1.37,1.62,2.25,1.63,2.53,1.67,2.53,1.6,2.33,1.5,1.75,2.05,1.84,2.08,1.9,2.16,1.8,2.04,2324,7.803333333333334,4.81,1.3483333333333334,0.12815036309269542,0.2079002079002079,0.7416563658838071,0.11891021455618209,0.19290977981706325,0.6881800056267546,6.455,away_odds_avg
P1,14/08/2023,20:45,Boavista,Benfica,3,2,H,0,1,A,11,15,3,5,18,15,3,3,6,4,1,1,9.0,5.5,1.3,9.0,5.25,1.31,9.0,5.5,1.3,11.02,5.89,1.29,9.0,5.0,1.22,9.5,5.25,1.25,11.02,5.9,1.32,9.89,5.54,1.29,1.6,2.3,1.6,2.42,1.62,2.45,1.59,2.33,1.5,1.99,1.91,2.03,1.86,2.03,1.97,1.96,1.87,9.0,4.75,1.33,8.5,5.25,1.32,8.25,5.25,1.33,10.53,5.58,1.32,8.5,4.8,1.25,9.0,5.25,1.33,11.0,6.0,1.36,9.44,5.31,1.31,1.62,2.25,1.64,2.36,1.64,2.45,1.59,2.33,1.5,1.91,1.99,1.9,2.0,2.19,2.0,1.9,1.93,2324,9.42,5.398333333333333,1.2783333333333333,0.10615711252653928,0.18524235875270145,0.7822685788787483,0.0988733086645527,0.17253224469652725,0.7285944466389201,8.141666666666666,away_odds_avg
P1,18/08/2023,20:15,Casa Pia,Sp Lisbon,1,2,A,0,1,A,13,17,3,5,14,11,4,5,4,1,0,0,7.5,4.33,1.44,6.75,4.5,1.43,6.75,4.4,1.47,7.6,4.77,1.45,7.0,4.2,1.35,8.0,4.6,1.4,8.0,4.8,1.47,7.3,4.56,1.43,1.73,2.08,1.78,2.12,1.8,2.14,1.75,2.07,1.25,1.87,2.03,1.89,2.02,1.89,2.06,1.85,1.98,9.5,5.0,1.33,8.5,5.0,1.34,7.5,4.6,1.43,9.41,5.11,1.37,8.0,4.33,1.3,9.0,5.0,1.33,10.3,5.11,1.43,8.68,4.86,1.36,1.67,2.15,1.71,2.22,1.78,2.23,1.71,2.13,1.5,1.86,2.04,1.86,2.05,1.88,2.3,1.79,2.07,2324,7.266666666666667,4.466666666666666,1.4233333333333336,0.13761467889908258,0.2238805970149254,0.7025761124121779,0.1293284270292751,0.210399978301358,0.6602715946693669,5.843333333333333,away_odds_avg
