home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_win_rate,away_win_rate,home_form_points,away_form_points,home_advantage,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,outcome,League,date,home_team,away_team
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.4117647058823529,0.25,6,5,2,france,2020-08-29,Rennes,Montpellier
2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0.0,0.2727272727272727,4,1,0,france,2020-08-30,Reims,Lille
1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1,0.15384615384615385,0.875,1,3,0,france,2020-08-30,Angers,Bordeaux
0.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,1,0.5555555555555556,0.5,9,2,2,france,2020-08-30,Nantes,Nimes
1.0,0.0,4.0,1.0,0.5,1.0,2.0,3.0,1,0.0,0.14285714285714285,2,3,1,france,2020-09-11,Bordeaux,Lyon
2.0,0.0,0.5,2.5,1.0,0.0,3.0,0.0,1,0.36363636363636365,0.4666666666666667,1,3,2,france,2020-09-12,St Etienne,Strasbourg
0.5,1.0,1.0,1.5,0.5,0.0,1.5,0.5,1,0.3333333333333333,0.25,7,5,2,france,2020-09-13,Angers,Reims
1.5,1.5,1.0,1.0,0.5,0.5,1.5,1.5,1,0.42857142857142855,0.46153846153846156,4,6,0,france,2020-09-13,Lorient,Lens
2.5,1.0,1.5,1.0,0.5,0.5,1.5,2.0,1,0.5,0.5454545454545454,2,6,0,france,2020-09-13,Nimes,Rennes
1.5,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1,0.2631578947368421,0.25,3,1,2,france,2020-09-13,Monaco,Nantes
1.0,0.5,0.0,1.0,0.5,0.0,2.0,0.0,1,0.35294117647058826,0.16666666666666666,4,4,2,france,2020-09-13,Lille,Metz
2.0,1.5,2.0,0.5,0.5,0.5,1.5,2.0,1,0.2727272727272727,0.35,6,5,2,france,2020-09-15,Montpellier,Lyon
2.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,1,0.14285714285714285,0.38461538461538464,2,2,0,france,2020-09-17,Marseille,St Etienne
1.6666666666666667,1.0,2.3333333333333335,2.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1,0.17647058823529413,0.2727272727272727,3,2,1,france,2020-09-18,Lyon,Nimes
1.6666666666666667,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,2.0,1.6666666666666667,1,0.25,0.375,5,8,2,france,2020-09-19,Lens,Bordeaux
2.3333333333333335,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,2.3333333333333335,1,0.2,0.13333333333333333,1,2,2,france,2020-09-19,Rennes,Monaco
1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,2.3333333333333335,1,0.16666666666666666,0.4666666666666667,3,3,1,france,2020-09-20,Marseille,Lille
1.0,1.0,2.0,0.0,0.3333333333333333,1.0,1.3333333333333333,3.0,1,0.1875,0.5714285714285714,2,2,1,france,2020-09-20,Nantes,St Etienne
2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,2.0,1,0.6,0.2,4,3,2,france,2020-09-20,Montpellier,Angers
1.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1,0.4,0.4,2,1,2,france,2020-09-20,Brest,Lorient
1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.0,1.0,1,0.3333333333333333,0.4,1,2,0,france,2020-09-20,Nice,Paris SG
1.0,0.5,1.25,1.25,0.5,0.25,2.0,1.25,1,0.3076923076923077,0.46153846153846156,0,2,2,france,2020-09-25,Lille,Nantes
2.0,0.5,2.25,1.25,0.75,0.75,2.5,2.5,1,0.5714285714285714,0.5454545454545454,1,1,0,france,2020-09-26,St Etienne,Rennes
1.25,1.25,0.5,1.0,0.5,0.25,1.75,0.75,1,0.16666666666666666,0.2,0,2,1,france,2020-09-26,Marseille,Metz
0.75,0.5,1.25,1.75,0.25,0.5,1.25,1.5,1,0.2631578947368421,0.14285714285714285,1,1,1,france,2020-09-27,Bordeaux,Nice
0.75,1.5,1.75,2.25,0.5,0.5,1.5,1.5,1,0.38461538461538464,0.4,3,2,2,france,2020-09-27,Angers,Brest
1.5,1.25,0.5,1.75,0.5,0.25,1.75,0.75,1,0.4166666666666667,0.4166666666666667,9,1,2,france,2020-09-27,Monaco,Strasbourg
1.75,1.5,1.75,1.25,0.25,0.75,1.0,2.25,1,0.2857142857142857,0.375,0,3,1,france,2020-09-27,Nimes,Lens
1.75,2.25,1.25,0.75,0.25,0.25,0.75,1.25,1,0.4,0.3,2,0,1,france,2020-09-27,Lorient,Lyon
0.75,1.5,1.0,0.5,0.0,0.5,0.25,1.5,1,0.3333333333333333,0.3181818181818182,2,2,0,france,2020-09-27,Reims,Paris SG
1.2,0.4,1.2,1.6,0.6,0.6,1.8,1.8,1,0.631578947368421,0.2222222222222222,1,2,2,france,2020-10-02,Paris SG,Angers
1.0,1.4,1.0,1.4,0.4,0.2,1.4,1.0,1,0.3684210526315789,0.08333333333333333,2,4,2,france,2020-10-03,Nice,Nantes
1.6,1.2,1.6,1.0,0.6,0.6,2.0,2.0,1,0.35714285714285715,0.3333333333333333,1,7,2,france,2020-10-03,Lens,St Etienne
