home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_win_rate,away_win_rate,home_form_points,away_form_points,home_advantage,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,outcome,League,date,home_team,away_team
4.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1,0.46153846153846156,0.2727272727272727,3.0,4.0,0,germany,2020-09-25,Hertha,Ein Frankfurt
1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1,0.375,0.15384615384615385,3.0,3.0,2,germany,2020-09-26,Bielefeld,FC Koln
0.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,1,0.3333333333333333,0.25,1.0,3.0,1,germany,2020-09-26,Leverkusen,RB Leipzig
3.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,1,0.5714285714285714,0.4117647058823529,3.0,4.0,2,germany,2020-09-26,Augsburg,Dortmund
3.0,2.0,8.0,0.0,1.0,1.0,3.0,3.0,1,0.4444444444444444,0.13333333333333333,3.0,2.0,2,germany,2020-09-27,Hoffenheim,Bayern Munich
3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1,0.3181818181818182,0.2222222222222222,0.0,3.0,1,germany,2020-09-27,Freiburg,Wolfsburg
1.0,2.0,1.0,3.5,0.0,0.0,0.5,0.0,1,0.5,0.0,1.0,4.0,2,germany,2020-10-02,Union Berlin,Mainz
2.0,1.0,0.5,5.5,0.5,0.0,2.0,0.0,1,0.3181818181818182,0.2,1.0,3.0,2,germany,2020-10-03,RB Leipzig,Schalke 04
2.0,2.5,1.0,0.5,0.5,0.5,1.5,2.0,1,0.25,0.45454545454545453,2.0,2.0,2,germany,2020-10-03,Werder Bremen,Bielefeld
3.0,2.0,0.5,0.5,0.5,0.0,1.5,1.0,1,0.16666666666666666,0.4375,3.0,2.0,1,germany,2020-10-03,Stuttgart,Leverkusen
1.5,1.0,2.0,1.5,0.5,0.5,1.5,2.0,1,0.4117647058823529,0.2857142857142857,1.0,1.0,2,germany,2020-10-03,Dortmund,Freiburg
2.0,1.0,3.5,1.5,0.5,1.0,2.0,3.0,1,0.35294117647058826,0.3333333333333333,2.0,3.0,2,germany,2020-10-03,Ein Frankfurt,Hoffenheim
4.5,2.0,2.5,2.0,0.5,0.5,1.5,1.5,1,0.391304347826087,0.5,3.0,3.0,2,germany,2020-10-04,Bayern Munich,Hertha
0.5,0.5,2.5,0.5,0.0,1.0,1.0,3.0,1,0.3333333333333333,0.1,0.0,1.0,1,germany,2020-10-04,Wolfsburg,Augsburg
1.3333333333333333,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,1,0.2,0.26666666666666666,3.0,3.0,1,germany,2020-10-17,Freiburg,Werder Bremen
2.6666666666666665,2.6666666666666665,2.3333333333333335,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1,0.23529411764705882,0.25,2.0,2.0,0,germany,2020-10-17,Hertha,Stuttgart
2.6666666666666665,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,2.0,1,0.3333333333333333,0.3125,1.0,1.0,0,germany,2020-10-17,Hoffenheim,Dortmund
0.6666666666666666,0.6666666666666666,4.333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,1,0.4166666666666667,0.5882352941176471,1.0,3.0,0,germany,2020-10-17,Bielefeld,Bayern Munich
1.6666666666666667,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.3333333333333335,2.3333333333333335,1,0.2857142857142857,0.375,0.0,1.0,0,germany,2020-10-17,Augsburg,RB Leipzig
1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0,1,0.14285714285714285,0.3333333333333333,2.0,2.0,1,germany,2020-10-17,M'gladbach,Wolfsburg
2.25,1.25,1.0,2.0,0.5,0.0,1.75,0.25,1,0.4,0.26666666666666666,2.0,5.0,1,germany,2020-10-23,Stuttgart,FC Koln
2.0,0.5,0.5,4.0,0.75,0.0,2.25,0.25,1,0.3888888888888889,0.0,0.0,1.0,2,germany,2020-10-24,Dortmund,Schalke 04
4.25,2.0,1.75,1.0,0.75,0.5,2.25,2.0,1,0.47619047619047616,0.2,3.0,0.0,2,germany,2020-10-24,Bayern Munich,Ein Frankfurt
2.5,0.5,2.0,2.5,0.75,0.25,2.5,0.75,1,0.26666666666666666,0.25,1.0,7.0,2,germany,2020-10-24,RB Leipzig,Hertha
1.75,1.25,1.25,2.0,0.25,0.25,1.25,1.25,1,0.30434782608695654,0.4444444444444444,1.0,4.0,1,germany,2020-10-24,Union Berlin,Freiburg
0.5,0.5,0.75,1.5,0.0,0.25,1.0,1.0,1,0.26666666666666666,0.1111111111111111,2.0,1.0,2,germany,2020-10-25,Wolfsburg,Bielefeld
