ï»¿Div,date,Time,home_team,away_team,home_score,away_score,result,HTHG,HTAG,HTR,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA,League,League_Name,outcome,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,home_goals_scored_avg,away_goals_scored_avg,home_goals_conceded_avg,away_goals_conceded_avg,home_form_points,away_form_points,home_win_rate,away_win_rate,home_recent_goals,away_recent_goals,home_recent_conceded,away_recent_conceded,home_win_streak,away_win_streak,home_clean_sheets,away_clean_sheets,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_home_goals_avg,h2h_away_goals_avg,home_rest_days,away_rest_days,home_running_points,away_running_points,form_difference,goals_diff,defense_diff,momentum_diff,h2h_dominance,rest_advantage,position_diff,home_attack_power,away_attack_power,home_defense_solidity,away_defense_solidity
,2020-09-26,17:00,Cagliari,Lazio,0,2,A,0,1,A,9,9,3,7,8,13,3,6,1,1,0,0,5.0,4.0,1.66,4.75,4.0,1.7,,,,5.08,4.13,1.68,5.0,3.9,1.7,,,,5.25,4.2,1.76,4.87,4.01,1.68,,,,1.66,2.2,1.65,2.35,1.7,2.37,1.65,2.23,,,0.75,2.05,1.88,2.05,1.87,2.09,1.89,2.01,1.85,,,5.5,4.33,1.55,6.0,4.2,1.55,,,,6.16,4.23,1.6,6.0,4.2,1.55,,,,6.5,4.45,1.66,5.81,4.21,1.56,,,,1.72,2.1,1.75,2.19,1.77,2.26,1.71,2.13,,,1.0,1.9,2.03,1.88,2.05,2.02,2.13,1.89,1.97,,,2020/2021,I1,4.9,3.85,1.7,5.25,3.9,1.65,6.0,4.0,1.57,6.5,4.0,1.53,italy,Serie A,0,0.3,0.7,1,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,6,7,1,0,1.0,1.0,-1.0,1.0,0,-1,1,0.3,0.0,0.5,1.0
,2020-09-27,14:00,Napoli,Genoa,6,0,H,1,0,H,18,3,11,1,6,13,4,2,1,2,0,0,1.3,5.5,10.0,1.3,5.5,9.75,,,,1.3,5.8,10.97,1.29,5.5,11.0,,,,1.33,6.0,11.25,1.3,5.57,9.83,,,,1.57,2.37,1.57,2.51,1.61,2.52,1.56,2.41,,,-1.5,1.94,1.99,1.9,2.02,1.97,2.02,1.89,1.96,,,1.22,6.5,12.0,1.26,6.0,11.5,,,,1.24,6.64,14.05,1.2,6.5,15.0,,,,1.3,7.1,15.5,1.22,6.47,12.76,,,,1.5,2.62,1.51,2.66,1.57,2.82,1.49,2.57,,,-1.75,1.83,2.1,1.83,2.09,1.89,2.14,1.81,2.05,,,2020/2021,I1,1.33,5.25,9.5,1.29,5.5,9.0,1.3,6.0,9.0,1.22,7.0,9.0,italy,Serie A,2,0.5789473684210527,0.25,1,2,2.0,4.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,0.0,1.0,1,1,1,0,0,0,0,0.0,0.0,7,7,3,3,0.0,-2.0,1.0,-2.0,0,0,0,1.1578947368421053,1.0,1.0,0.5
,2020-09-27,17:00,Crotone,Milan,0,2,A,0,1,A,5,11,1,7,14,15,2,5,1,3,0,0,6.0,4.5,1.5,5.75,4.5,1.53,,,,6.05,4.48,1.55,6.0,4.33,1.52,,,,6.5,4.7,1.58,5.94,4.39,1.53,,,,1.66,2.2,1.71,2.23,1.76,2.3,1.68,2.18,,,1.0,2.02,1.91,2.01,1.91,2.05,1.95,1.98,1.88,,,5.5,4.1,1.6,5.5,4.1,1.6,,,,6.0,4.16,1.62,5.5,4.2,1.6,,,,6.12,4.45,1.66,5.61,4.06,1.6,,,,1.9,1.9,1.99,1.92,2.03,2.05,1.91,1.9,,,1.0,1.75,2.05,1.85,2.08,1.9,2.15,1.81,2.05,,,2020/2021,I1,6.0,4.1,1.55,6.5,4.0,1.5,5.5,3.9,1.65,5.5,3.9,1.62,italy,Serie A,0,0.16666666666666666,0.5833333333333334,1,3,1.0,2.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,4.0,0.0,0,1,0,1,0,0,0,0.0,0.0,7,6,0,3,-3.0,-1.0,-4.0,-1.0,0,1,-3,0.16666666666666666,1.1666666666666667,0.2,1.0
,2020-09-30,19:45,Lazio,Atalanta,1,4,A,0,3,A,11,8,8,6,16,11,7,3,7,2,0,0,2.55,3.5,2.55,2.6,3.8,2.5,,,,2.62,3.84,2.56,2.6,3.6,2.55,,,,2.7,3.92,2.66,2.57,3.71,2.55,,,,1.53,2.5,1.52,2.67,1.57,2.74,1.51,2.54,,,0.0,1.95,1.95,1.98,1.93,2.01,1.99,1.94,1.92,,,2.55,3.75,2.55,2.7,3.75,2.4,,,,2.62,3.64,2.73,2.55,3.6,2.6,,,,2.8,3.95,2.77,2.58,3.63,2.59,,,,1.44,2.75,1.45,2.88,1.49,2.96,1.43,2.79,,,0.0,1.94,1.99,1.93,2.0,2.07,2.03,1.93,1.94,,,2020/2021,I1,2.6,3.5,2.55,2.6,3.5,2.6,2.6,3.4,2.6,2.6,3.7,2.5,italy,Serie A,0,0.6666666666666666,0.6666666666666666,7,2,2.0,4.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,0.0,2.0,1,1,1,0,0,0,0,0.0,0.0,4,4,3,3,0.0,-2.0,2.0,-2.0,0,0,0,1.3333333333333333,2.6666666666666665,1.0,0.3333333333333333
,2020-09-30,17:00,Benevento,Inter,2,5,A,1,4,A,11,18,7,12,10,15,5,1,1,0,0,0,9.0,4.75,1.36,8.25,5.25,1.36,,,,8.84,5.44,1.35,9.0,5.0,1.35,,,,9.1,5.55,1.4,8.28,5.19,1.36,,,,1.53,2.5,1.53,2.64,1.58,2.65,1.52,2.5,,,1.5,1.84,2.06,1.88,2.04,1.93,2.12,1.84,2.01,,,9.5,5.5,1.3,8.25,5.5,1.34,,,,10.03,5.83,1.32,9.5,5.25,1.32,,,,11.0,5.83,1.35,9.04,5.49,1.32,,,,1.44,2.75,1.48,2.81,1.51,2.96,1.45,2.7,,,1.5,2.04,1.89,2.05,1.88,2.14,1.96,1.98,1.88,,,2020/2021,I1,7.5,4.9,1.4,8.5,5.0,1.36,8.5,5.75,1.33,10.5,5.5,1.29,italy,Serie A,0,0.5833333333333334,0.631578947368421,1,0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,1,1,0,0,0,0,0,0.0,0.0,4,4,3,3,0.0,-1.0,1.0,-1.0,0,0,0,1.75,2.526315789473684,0.3333333333333333,0.25
,2020-10-02,19:45,Fiorentina,Sampdoria,1,2,A,0,1,A,16,14,6,10,11,16,8,4,0,3,0,0,1.61,4.0,5.25,1.67,4.0,5.0,,,,1.68,4.21,5.26,1.65,3.9,5.25,,,,1.73,4.21,5.5,1.67,4.06,5.01,,,,1.66,2.2,1.65,2.35,1.71,2.37,1.66,2.25,,,-0.75,1.86,2.07,1.87,2.06,1.9,2.11,1.85,2.02,,,1.7,4.0,4.5,1.75,3.9,4.5,,,,1.75,4.17,4.71,1.73,3.9,4.75,,,,1.81,4.19,5.5,1.74,3.99,4.51,,,,1.66,2.2,1.67,2.32,1.71,2.45,1.63,2.29,,,-0.75,1.99,1.94,1.96,1.96,2.01,1.99,1.95,1.91,,,2020/2021,I1,1.67,4.0,5.0,1.65,3.9,5.25,1.75,3.9,4.6,1.67,3.9,5.0,italy,Serie A,0,0.35294117647058826,0.6666666666666666,0,3,2.0,1.0,2.0,3.0,1.5,0.0,0.5,0.0,4.0,2.0,4.0,6.0,0,0,1,0,0,0,0,0.0,0.0,6,6,3,0,1.5,1.0,1.0,2.0,0,0,3,0.7058823529411765,0.6666666666666666,0.3333333333333333,0.25
,2020-10-03,14:00,Sassuolo,Crotone,4,1,H,1,0,H,7,10,4,6,15,15,3,4,2,3,0,0,1.4,5.0,7.0,1.45,4.6,7.0,,,,1.44,5.01,7.65,1.42,4.75,7.5,,,,1.46,5.15,7.65,1.42,4.87,7.13,,,,1.57,2.37,1.6,2.48,1.67,2.48,1.6,2.35,,,-1.25,1.97,1.96,1.96,1.96,1.97,1.98,1.93,1.93,,,1.5,4.6,5.75,1.5,4.75,5.75,,,,1.51,4.94,6.25,1.5,4.4,6.5,,,,1.57,4.94,6.76,1.51,4.61,5.88,,,,1.53,2.5,1.51,2.7,1.56,2.82,1.5,2.55,,,-1.0,1.84,2.09,1.81,2.12,1.91,2.15,1.82,2.05,,,2020/2021,I1,1.43,4.6,7.0,1.4,4.8,7.5,1.53,4.4,5.75,1.5,4.4,6.5,italy,Serie A,2,0.5,0.5454545454545454,2,3,2.5,0.5,1.0,3.0,2.0,0.0,0.5,0.0,5.0,1.0,2.0,6.0,1,0,0,0,0,0,0,0.0,0.0,6,6,4,0,2.0,2.0,2.0,4.0,0,0,4,1.25,0.2727272727272727,0.5,0.25
,2020-10-04,17:00,Milan,Spezia,3,0,H,0,0,D,10,3,5,2,14,19,4,6,1,2,0,0,1.28,5.5,11.0,1.25,6.25,11.5,,,,1.28,6.01,11.87,1.27,5.5,12.0,,,,1.31,6.25,13.0,1.28,5.75,10.96,,,,1.57,2.37,1.63,2.38,1.69,2.45,1.6,2.32,,,-1.5,1.87,2.06,1.86,2.05,1.88,2.08,1.84,2.02,,,1.33,5.0,9.5,1.36,5.0,8.5,,,,1.41,4.88,8.88,1.36,4.75,9.5,,,,1.43,5.15,10.4,1.38,4.86,8.34,,,,1.66,2.2,1.71,2.25,1.72,2.37,1.67,2.19,,,-1.25,1.96,1.97,1.96,1.96,1.98,2.07,1.9,1.97,,,2020/2021,I1,1.3,5.25,10.0,1.22,5.75,13.0,1.35,5.0,9.0,1.36,4.75,9.0,italy,Serie A,2,0.45454545454545453,0.5,1,2,2.0,1.5,0.0,2.0,3.0,1.5,1.0,0.5,4.0,3.0,0.0,4.0,2,1,2,1,0,0,0,0.0,0.0,7,4,6,3,1.5,0.5,2.0,1.0,0,3,3,0.9090909090909091,0.75,1.0,0.3333333333333333
,2020-10-04,14:00,Lazio,Inter,1,1,D,0,1,A,11,10,5,4,14,13,7,8,3,4,1,1,3.1,3.7,2.2,3.1,3.6,2.2,,,,3.2,3.95,2.19,3.1,3.7,2.2,,,,3.3,3.96,2.28,3.1,3.75,2.17,,,,1.53,2.5,1.56,2.59,1.62,2.63,1.55,2.46,,,0.25,1.98,1.95,2.01,1.92,2.01,1.98,1.94,1.91,,,2.87,3.75,2.25,3.25,3.7,2.1,,,,2.97,3.78,2.38,3.0,3.6,2.3,,,,3.25,3.89,2.44,2.96,3.66,2.29,,,,1.5,2.62,1.5,2.72,1.54,2.82,1.5,2.57,,,0.25,1.87,2.06,1.86,2.07,1.93,2.08,1.86,2.01,,,2020/2021,I1,3.1,3.55,2.2,3.1,3.5,2.15,2.95,3.45,2.3,3.0,3.6,2.25,italy,Serie A,1,0.4166666666666667,0.36363636363636365,6,7,1.5,4.5,2.0,2.5,1.5,3.0,0.5,1.0,3.0,9.0,4.0,5.0,0,2,1,0,0,0,0,0.0,0.0,4,4,3,6,-1.5,-3.0,0.5,-6.0,0,0,-3,0.625,1.6363636363636365,0.3333333333333333,0.2857142857142857
,2020-10-04,14:00,Benevento,Bologna,1,0,H,0,0,D,6,13,3,7,13,15,4,10,2,1,0,0,3.1,3.6,2.2,3.2,3.5,2.2,,,,3.24,3.78,2.23,3.2,3.6,2.2,,,,3.24,3.78,2.27,3.12,3.63,2.2,,,,1.66,2.2,1.66,2.35,1.74,2.35,1.67,2.21,,,0.25,1.96,1.97,1.98,1.94,1.98,1.97,1.92,1.92,,,2.87,3.6,2.3,3.1,3.6,2.2,,,,2.96,3.6,2.46,2.88,3.6,2.35,,,,3.17,3.85,2.47,2.91,3.58,2.35,,,,1.57,2.37,1.6,2.49,1.63,2.55,1.58,2.38,,,0.25,1.82,2.11,1.82,2.13,1.88,2.14,1.82,2.06,,,2020/2021,I1,3.1,3.4,2.25,3.13,3.4,2.2,2.9,3.35,2.4,2.9,3.5,2.38,italy,Serie A,2,0.42857142857142855,0.5,2,1,2.5,2.0,3.5,1.5,1.5,1.5,0.5,0.5,5.0,4.0,7.0,3.0,0,1,0,0,0,0,0,0.0,0.0,4,6,3,3,0.0,0.5,-2.0,1.0,0,-2,0,1.0714285714285714,1.0,0.2222222222222222,0.4
