home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_win_rate,away_win_rate,home_form_points,away_form_points,home_advantage,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,outcome,League,date,home_team,away_team
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.3,0.7,1,1,0,italy,2020-09-26,Cagliari,Lazio
2.0,0.0,4.0,1.0,1.0,1.0,3.0,3.0,1,0.5789473684210527,0.25,1,2,2,italy,2020-09-27,Napoli,Genoa
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2222222222222222,0.4,1,0,2,italy,2020-09-27,Verona,Udinese
0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1,0.75,0.42857142857142855,2,6,1,italy,2020-09-27,Roma,Juventus
2.0,0.0,4.0,2.0,1.0,1.0,3.0,3.0,1,0.6666666666666666,0.6666666666666666,7,2,0,italy,2020-09-30,Lazio,Atalanta
3.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,1,0.5833333333333334,0.631578947368421,1,0,0,italy,2020-09-30,Benevento,Inter
2.0,2.0,1.0,3.0,0.5,0.0,1.5,0.0,1,0.35294117647058826,0.6666666666666666,0,3,0,italy,2020-10-02,Fiorentina,Sampdoria
2.5,1.0,0.5,3.0,0.5,0.0,2.0,0.0,1,0.5,0.5454545454545454,2,3,2,italy,2020-10-03,Sassuolo,Crotone
2.0,0.0,1.5,2.0,1.0,0.5,3.0,1.5,1,0.45454545454545453,0.5,1,2,2,italy,2020-10-04,Milan,Spezia
1.5,2.0,4.5,2.5,0.5,1.0,1.5,3.0,1,0.4166666666666667,0.36363636363636365,6,7,1,italy,2020-10-04,Lazio,Inter
2.5,3.5,2.0,1.5,0.5,0.5,1.5,1.5,1,0.42857142857142855,0.5,2,1,2,italy,2020-10-04,Benevento,Bologna
4.0,1.5,0.5,1.5,1.0,0.0,3.0,0.5,1,0.7,0.375,0,0,2,italy,2020-10-04,Atalanta,Cagliari
4.0,0.0,4.333333333333333,1.6666666666666667,1.0,1.0,3.0,3.0,1,0.7368421052631579,0.25,1,3,2,italy,2020-10-17,Napoli,Atalanta
3.3333333333333335,2.0,2.3333333333333335,0.0,0.6666666666666666,1.0,2.3333333333333335,3.0,1,0.46153846153846156,0.4444444444444444,3,4,0,italy,2020-10-17,Inter,Milan
1.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1,0.6666666666666666,0.1111111111111111,2,2,2,italy,2020-10-17,Sampdoria,Lazio
1.3333333333333333,1.3333333333333333,3.0,1.0,0.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,1,0.5833333333333334,0.5714285714285714,2,2,0,italy,2020-10-18,Bologna,Sassuolo
1.0,2.3333333333333335,1.6666666666666667,2.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1,0.2857142857142857,0.75,2,2,1,italy,2020-10-18,Spezia,Fiorentina
1.0,0.6666666666666666,2.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1,0.5882352941176471,0.4444444444444444,3,2,2,italy,2020-10-18,Roma,Benevento
0.3333333333333333,0.3333333333333333,2.0,3.5,0.3333333333333333,0.5,1.3333333333333333,1.5,1,0.631578947368421,0.3333333333333333,1,4,1,italy,2020-10-19,Verona,Genoa
3.25,1.5,1.3333333333333333,2.6666666666666665,0.75,0.0,2.5,0.0,1,0.6428571428571429,0.8,2,2,1,italy,2020-10-23,Sassuolo,Torino
1.0,2.0,1.75,2.0,0.25,0.25,1.0,0.75,1,0.5714285714285714,0.35294117647058826,3,3,2,italy,2020-10-24,Lazio,Bologna
3.5,2.25,1.75,1.75,0.75,0.5,2.25,1.5,1,0.45454545454545453,0.6666666666666666,3,4,0,italy,2020-10-24,Atalanta,Sampdoria
1.3333333333333333,2.3333333333333335,2.75,2.0,0.3333333333333333,0.5,1.3333333333333333,1.75,1,0.0,0.5454545454545454,1,1,0,italy,2020-10-24,Genoa,Inter
