match_idx,date,home_team,away_team,total_goals,over_2_5,btts,outcome,home_avg_gf_l10,home_avg_ga_l10,home_avg_gf_l5,home_avg_ga_l5,away_avg_gf_l10,away_avg_ga_l10,away_avg_gf_l5,away_avg_ga_l5,home_odds,draw_odds,away_odds,home_prob,draw_prob,away_prob,expected_goals,combined_attacking,odds_competitiveness
27,2020-10-17,Maritimo,Portimonense,3,1,1,A,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.448333333333333,3.103333333333333,3.0466666666666664,0.3857210494692752,0.3043094638401531,0.3099694866905718,2.0,0.7366686875216921,0.5983333333333336
28,2020-10-17,Sp Braga,Nacional,3,1,1,H,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3816666666666666,4.738333333333333,7.771666666666667,0.6805610321435746,0.1984470966046511,0.1209918712517742,3.0,0.8524360989821316,6.390000000000001
30,2020-10-18,Belenenses,Moreirense,0,0,0,D,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,2.3866666666666667,2.998333333333333,3.2616666666666667,0.3956118700090513,0.3149061689010347,0.2894819610899139,1.6666666666666665,0.7255861354313267,0.875
31,2020-10-18,Pacos Ferreira,Santa Clara,3,1,1,H,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.0,1.0,0.0,2.526666666666667,3.0666666666666664,2.935,0.3724689505751919,0.3068820266695604,0.3206490227552476,1.3333333333333333,0.7364938666714612,0.4083333333333332
32,2020-10-18,Farense,Famalicao,6,1,1,D,0.6666666666666666,2.0,0.6666666666666666,2.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.3333333333333335,2.475,3.2416666666666667,2.87,0.3808268195299827,0.2907598082272619,0.3284133722427552,2.0,0.7524724597895329,0.395
33,2020-10-18,Rio Ave,Benfica,3,1,0,A,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.3333333333333335,1.0,3.3333333333333335,1.0,5.583333333333333,4.23,1.545,0.1685276347310793,0.2224458535654514,0.6090265117034691,4.0,0.8263536685504518,4.038333333333333
34,2020-10-19,Boavista,Guimaraes,1,0,0,A,1.3333333333333333,3.0,1.3333333333333333,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.828333333333333,3.223333333333333,2.0516666666666663,0.246690856128518,0.2929932246779761,0.460315919193506,1.6666666666666665,0.7486188851562471,1.7766666666666668
35,2020-10-23,Tondela,Portimonense,1,0,0,H,0.75,2.0,0.75,2.0,0.75,1.25,0.75,1.25,3.5033333333333334,3.235,2.146666666666667,0.2691837491921821,0.2915117160236821,0.4393045347841357,1.5,0.751280945092222,1.3566666666666665
36,2020-10-24,Nacional,Pacos Ferreira,2,0,1,D,1.25,1.25,1.25,1.25,0.75,1.25,0.75,1.25,2.635,3.1566666666666663,2.7566666666666664,0.3583451230739101,0.299125469683132,0.3425294072429577,2.0,0.7422635942078201,0.12166666666666659
37,2020-10-24,Santa Clara,Sp Lisbon,3,1,1,A,1.0,0.5,1.0,0.5,2.0,0.6666666666666666,2.0,0.6666666666666666,4.325,3.4416666666666664,1.875,0.2191384445592115,0.2753822099908736,0.5054793454499147,3.0,0.7645472061657033,2.45
38,2020-10-24,Porto,Gil Vicente,1,0,0,H,3.0,1.5,3.0,1.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.2266666666666666,6.083333333333333,13.175,0.7723501936547001,0.1557396554876327,0.0719101508576672,3.6666666666666665,0.8911187195775927,11.948333333333334
39,2020-10-25,Guimaraes,Sp Braga,1,0,0,A,0.5,0.25,0.5,0.25,1.75,1.25,1.75,1.25,2.7816666666666667,3.346666666666667,2.4883333333333333,0.3390912433762581,0.281844265535346,0.3790644910883957,2.25,0.7613721232337688,0.29333333333333345
40,2020-10-25,Farense,Rio Ave,1,0,0,A,1.25,2.25,1.25,2.25,0.5,1.25,0.5,1.25,3.263333333333333,3.29,2.236666666666667,0.2897785521420424,0.28742978981465,0.4227916580433077,1.75,0.7535290276126525,1.0266666666666664
41,2020-10-25,Moreirense,Maritimo,3,1,1,H,0.75,0.75,0.75,0.75,1.5,1.75,1.5,1.75,2.556666666666666,3.02,2.985,0.3699479292417695,0.3131899136075466,0.3168621571506837,2.25,0.7261426646487545,0.4283333333333337
42,2020-10-25,Famalicao,Boavista,4,1,1,D,1.75,2.5,1.75,2.5,1.0,2.5,1.0,2.5,2.39,3.251666666666667,3.016666666666667,0.395683429053948,0.2908303625132555,0.3134862084327963,2.75,0.7499017545481864,0.6266666666666669
43,2020-10-26,Benfica,Belenenses,2,0,0,H,3.25,0.75,3.25,0.75,0.5,0.5,0.5,0.5,1.11,8.898333333333333,23.845,0.8537572699929983,0.1064997830708628,0.0397429469361387,3.75,0.9428384140063737,22.735
44,2020-10-28,Sp Lisbon,Gil Vicente,4,1,1,H,2.0,0.75,2.0,0.75,0.5,0.5,0.5,0.5,1.4516666666666664,4.318333333333333,7.458333333333333,0.6532529812170242,0.2195999022153716,0.127147116567604,2.5,0.8229415877210425,6.006666666666667
45,2020-10-30,Pacos Ferreira,Porto,5,1,1,H,0.8,1.2,0.8,1.2,2.6,1.2,2.6,1.2,6.468333333333334,4.115,1.525,0.1467691377565309,0.2307051533548386,0.6225257088886302,3.4000000000000004,0.8103370349876026,4.943333333333333
46,2020-10-31,Rio Ave,Moreirense,2,0,0,H,0.6,1.0,0.6,1.0,1.0,0.8,1.0,0.8,1.8833333333333333,3.285,4.483333333333333,0.5016586368332809,0.2876074376568278,0.2107339255098912,1.6,0.7540217784649801,2.6
47,2020-10-31,Maritimo,Nacional,0,0,0,D,1.4,1.8,1.4,1.8,1.2,1.2,1.2,1.2,2.1416666666666666,3.26,3.508333333333333,0.4410329523076041,0.2897379057849035,0.2692291419074923,2.5999999999999996,0.7519616994925923,1.3666666666666663
48,2020-10-31,Belenenses,Farense,2,0,1,D,0.4,0.8,0.4,0.8,1.0,2.0,1.0,2.0,2.55,3.0033333333333334,2.9683333333333333,0.369259236077425,0.3135219928959269,0.3172187710266481,1.4,0.7290462507293766,0.41833333333333345
49,2020-11-01,Portimonense,Santa Clara,3,1,1,A,0.6,1.2,0.6,1.2,1.0,0.8,1.0,0.8,2.231666666666667,3.12,3.4333333333333336,0.4227833235466823,0.3024075161479742,0.2748091603053435,1.6,0.7393577296489917,1.2016666666666667
50,2020-11-01,Gil Vicente,Guimaraes,3,1,1,A,0.6,1.0,0.6,1.0,0.4,0.4,0.4,0.4,3.635,2.911666666666667,2.276666666666667,0.2600740748409821,0.3246832039085185,0.4152427212504992,1.0,0.7143418166878466,1.358333333333333
51,2020-11-01,Sp Lisbon,Tondela,4,1,0,H,2.2,0.8,2.2,0.8,0.8,1.6,0.8,1.6,1.4116666666666668,4.48,8.088333333333333,0.6713052136283223,0.2115310699193411,0.1171637164523365,3.0,0.8320173915962836,6.676666666666666
52,2020-11-02,Sp Braga,Famalicao,1,0,0,H,1.6,1.0,1.6,1.0,1.8,2.4,1.8,2.4,1.3683333333333334,4.9,7.938333333333333,0.6888845455413517,0.1923721809147788,0.1187432735438693,3.4000000000000004,0.8567871046175823,6.569999999999999
53,2020-11-02,Boavista,Benfica,3,1,0,H,1.2,2.4,1.2,2.4,3.0,0.6,3.0,0.6,10.306666666666668,5.833333333333333,1.268333333333333,0.0918020161907943,0.162201048035392,0.7459969357738135,4.2,0.8854608476284865,9.038333333333336
54,2020-11-06,Belenenses,Rio Ave,0,0,0,D,0.5,0.8333333333333334,0.4,1.0,0.8333333333333334,0.8333333333333334,0.8,0.8,3.446666666666666,3.168333333333333,2.2133333333333334,0.2743425957118484,0.298443181447713,0.4272142228404386,1.2000000000000002,0.741942625434038,1.2333333333333325
55,2020-11-07,Tondela,Santa Clara,2,0,0,H,0.6666666666666666,2.0,0.6,2.2,1.1666666666666667,0.8333333333333334,1.0,1.0,2.893333333333333,3.123333333333333,2.5516666666666663,0.3267696061604245,0.3027065295061351,0.3705238643334403,1.6,0.7375228383003188,0.3416666666666668
56,2020-11-07,Famalicao,Maritimo,3,1,1,H,1.5,2.1666666666666665,1.6,1.6,1.1666666666666667,1.5,1.4,1.4,2.203333333333333,3.19,3.405,0.4277548346784144,0.2954503090098557,0.2767948563117298,3.0,0.7475435474662384,1.2016666666666667
