home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_win_rate,away_win_rate,home_form_points,away_form_points,home_advantage,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,outcome,League,date,home_team,away_team
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.5333333333333333,0.3076923076923077,1,1,2,spain,2020-09-19,Villarreal,Eibar
0.0,0.0,4.0,2.0,0.0,1.0,1.0,3.0,1,0.25,0.3,3,1,2,spain,2020-09-19,Celta,Valencia
1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1,0.0,0.5714285714285714,3,3,0,spain,2020-09-20,Huesca,Cadiz
1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1,0.35294117647058826,0.2,3,0,2,spain,2020-09-20,Betis,Valladolid
2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1,0.2727272727272727,0.5,0,3,2,spain,2020-09-20,Granada,Alaves
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.14285714285714285,0.23529411764705882,2,2,1,spain,2020-09-20,Sociedad,Real Madrid
1.5,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1,0.3125,0.3333333333333333,8,2,0,spain,2020-09-26,Betis,Real Madrid
2.5,2.0,0.5,1.5,0.5,0.0,1.5,0.5,1,0.3333333333333333,0.2222222222222222,0,1,1,spain,2020-09-26,Valencia,Huesca
1.0,0.5,2.0,4.0,0.5,0.0,1.5,0.0,1,0.4,0.4166666666666667,2,0,0,spain,2020-09-27,Osasuna,Levante
0.5,1.0,0.0,2.0,0.0,0.0,0.5,0.0,1,0.125,0.5,1,0,0,spain,2020-09-27,Eibar,Ath Bilbao
1.0,1.0,0.0,0.0,0.5,0.0,1.5,0.0,1,0.38461538461538464,0.3333333333333333,4,2,0,spain,2020-09-27,Cadiz,Sevilla
0.5,1.5,1.0,0.5,0.0,0.5,0.5,2.0,1,0.36363636363636365,0.16666666666666666,3,4,1,spain,2020-09-27,Valladolid,Celta
1.3333333333333333,0.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,1,0.25,0.5,1,5,0,spain,2020-09-29,Sociedad,Valencia
0.5,0.0,1.6666666666666667,1.0,0.5,0.6666666666666666,2.0,2.0,1,0.4444444444444444,0.18181818181818182,4,7,2,spain,2020-09-29,Getafe,Betis
1.5,1.0,0.6666666666666666,1.3333333333333333,0.5,0.0,2.0,0.6666666666666666,1,0.3125,0.4166666666666667,2,1,2,spain,2020-09-30,Real Madrid,Valladolid
1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,1,0.5454545454545454,0.3333333333333333,0,2,2,spain,2020-09-30,Villarreal,Alaves
0.6666666666666666,1.3333333333333333,6.0,1.0,0.0,1.0,0.6666666666666666,3.0,1,0.3,0.11764705882352941,1,0,1,spain,2020-09-30,Huesca,Ath Madrid
0.6666666666666666,1.3333333333333333,0.0,3.0,0.0,0.0,0.3333333333333333,0.0,1,0.3076923076923077,0.3333333333333333,2,2,0,spain,2020-09-30,Eibar,Elche
1.0,1.5,1.0,1.6666666666666667,0.5,0.3333333333333333,1.5,1.0,1,0.2857142857142857,0.25,3,11,0,spain,2020-10-01,Ath Bilbao,Cadiz
3.0,1.0,2.5,2.5,1.0,0.5,3.0,1.5,1,0.11764705882352941,0.25,5,2,2,spain,2020-10-01,Sevilla,Levante
1.0,0.6666666666666666,4.0,0.0,0.3333333333333333,1.0,1.6666666666666667,3.0,1,0.2727272727272727,0.42857142857142855,5,8,0,spain,2020-10-01,Celta,Barcelona
0.5,1.25,0.5,1.25,0.0,0.0,0.5,0.25,1,0.3,0.4166666666666667,2,6,0,spain,2020-10-03,Valladolid,Eibar
3.0,0.5,1.5,1.75,0.5,0.5,2.0,1.75,1,0.06666666666666667,0.2857142857142857,1,2,1,spain,2020-10-03,Ath Madrid,Villarreal
0.5,1.5,0.5,1.0,0.5,0.0,1.5,0.75,1,0.0,0.21052631578947367,0,2,1,spain,2020-10-03,Elche,Huesca
1.0,0.5,1.3333333333333333,0.0,0.25,0.6666666666666666,1.25,2.3333333333333335,1,0.5,0.16666666666666666,3,3,2,spain,2020-10-03,Sociedad,Getafe
1.75,1.25,1.25,1.5,0.5,0.5,1.75,1.5,1,0.3333333333333333,0.4444444444444444,2,2,0,spain,2020-10-03,Valencia,Betis
3.5,0.0,2.0,0.5,1.0,1.0,3.0,3.0,1,0.38461538461538464,0.07142857142857142,1,1,1,spain,2020-10-04,Barcelona,Sevilla
1.0,1.25,1.6666666666666667,2.3333333333333335,0.5,0.6666666666666666,1.5,2.0,1,0.26666666666666666,0.35714285714285715,2,2,1,spain,2020-10-04,Cadiz,Granada
1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,1,0.3333333333333333,0.21428571428571427,2,1,0,spain,2020-10-04,Levante,Real Madrid
1.0,1.3333333333333333,0.75,1.25,0.3333333333333333,0.25,1.0,1.25,1,0.3333333333333333,0.3,3,3,2,spain,2020-10-04,Osasuna,Celta
0.5,1.5,0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.25,1.0,1,0.3333333333333333,0.0,5,3,2,spain,2020-10-04,Alaves,Ath Bilbao
1.5,2.0,1.6666666666666667,0.6666666666666666,0.5,0.6666666666666666,1.75,2.3333333333333335,1,0.21428571428571427,0.3333333333333333,4,7,2,spain,2020-10-17,Granada,Sevilla
0.6,1.4,2.0,0.3333333333333333,0.2,0.3333333333333333,1.0,1.6666666666666667,1,0.3125,0.4,3,4,0,spain,2020-10-17,Celta,Ath Madrid
1.5,0.5,1.0,1.2,0.75,0.4,2.5,1.4,1,0.13333333333333333,0.3333333333333333,2,0,0,spain,2020-10-17,Real Madrid,Cadiz
1.0,0.75,2.6666666666666665,0.3333333333333333,0.5,0.6666666666666666,1.75,2.3333333333333335,1,0.4,0.125,4,3,2,spain,2020-10-17,Getafe,Barcelona
0.5,1.25,1.25,2.0,0.25,0.25,0.75,0.75,1,0.3333333333333333,0.14285714285714285,3,1,2,spain,2020-10-18,Ath Bilbao,Levante
1.2,1.4,1.4,1.4,0.4,0.4,1.6,1.4,1,0.35294117647058826,0.25,7,1,2,spain,2020-10-18,Villarreal,Valencia
0.6,1.2,0.3333333333333333,1.0,0.2,0.3333333333333333,0.8,1.3333333333333333,1,0.14285714285714285,0.375,2,5,0,spain,2020-10-18,Alaves,Elche
0.4,0.8,0.6,1.4,0.0,0.0,0.8,0.4,1,0.5384615384615384,0.5,1,2,1,spain,2020-10-18,Huesca,Valladolid
1.4,1.2,1.4,0.4,0.6,0.4,1.8,1.6,1,0.125,0.5555555555555556,2,1,0,spain,2020-10-18,Betis,Sociedad
0.8,1.2,1.25,1.0,0.2,0.5,0.8,1.5,1,0.5454545454545454,0.2222222222222222,2,6,1,spain,2020-10-18,Eibar,Osasuna
0.75,0.75,1.3333333333333333,1.5,0.5,0.3333333333333333,1.75,1.1666666666666667,1,0.5,0.26666666666666666,3,2,2,spain,2020-10-23,Elche,Valencia
2.0,0.5,1.2,0.6,0.5,0.6,1.75,2.0,1,0.36363636363636365,0.5625,3,2,0,spain,2020-10-24,Barcelona,Real Madrid
1.0,0.8,0.8,1.0,0.4,0.4,1.4,1.2,1,0.25,0.35714285714285715,3,2,2,spain,2020-10-24,Osasuna,Ath Bilbao
1.25,0.75,0.6666666666666666,1.0,0.5,0.16666666666666666,1.75,0.8333333333333334,1,0.13636363636363635,0.25,0,3,0,spain,2020-10-24,Sevilla,Eibar
2.0,0.25,1.1666666666666667,1.5,0.5,0.5,2.0,1.5,1,0.42857142857142855,0.23076923076923078,2,3,2,spain,2020-10-24,Ath Madrid,Betis
1.0,0.6,1.4,1.6,0.6,0.6,2.0,2.0,1,0.09090909090909091,0.3333333333333333,4,2,0,spain,2020-10-25,Getafe,Granada
0.8333333333333334,1.5,0.5,1.3333333333333333,0.0,0.16666666666666666,0.5,0.6666666666666666,1,0.16666666666666666,0.26666666666666666,4,0,0,spain,2020-10-25,Valladolid,Alaves
1.0,1.0,1.3333333333333333,1.3333333333333333,0.5,0.5,1.6666666666666667,1.8333333333333333,1,0.0,0.25,2,2,1,spain,2020-10-25,Cadiz,Villarreal
